what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.commons.ui",1290184342078
started,bundle,org.eclipse.mylyn.context.core,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.context.core",1290184342078
started,bundle,org.eclipse.mylyn.context.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.context.ui",1290184342078
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.tasks.ui",1290184342078
started,bundle,org.eclipse.mylyn.team.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.team.ui",1290184342078
started,bundle,org.maven.ide.components.maven_model_edit,1.0.0.200905041413,"org.maven.ide.components.maven_model_edit",1290184342078
started,bundle,org.maven.ide.eclipse,0.9.8.200905041413,"org.maven.ide.eclipse",1290184342078
os,sysinfo,,,"win32",1290184342093
arch,sysinfo,,,"x86",1290184342093
ws,sysinfo,,,"win32",1290184342093
locale,sysinfo,,,"en_GB",1290184342093
processors,sysinfo,,,"2",1290184342093
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1290184342093
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1290184342093
java.specification.name,sysinfo,,,"Java Platform API Specification",1290184342093
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1290184342093
java.specification.version,sysinfo,,,"1.6",1290184342093
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1290184342093
java.version,sysinfo,,,"1.6.0_17",1290184342093
java.vm.info,sysinfo,,,"mixed mode",1290184342093
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1290184342093
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1290184342093
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1290184342093
java.vm.specification.version,sysinfo,,,"1.0",1290184342093
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1290184342093
